scenario,gauge,planningUnit,state,sWSDLName,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB1_P,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB1_S,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB2,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB3,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,OB4,,0.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,SF1,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,SF2,,0.0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,VF,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,WP1,,0.0,0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,WP2,,0.0,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,78.0,22996.0
