"","planning_unit_name","gauge","ewr_code_timing","state","LTWPShortName","env_obj","Target","SWSDLName"
"193","Murray River - Hume to Yarrawonga","409023","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"194","Upper Wakool River and Yallakool Creek","409023","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"195","Murray River - Yarrawonga to Barmah","409023","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"196","Murray River - Barmah to Barham","409023","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"197","Edward River - Stevens Weir to Wakool River","409023","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"198","Murray River - Hume to Yarrawonga","409023","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"199","Upper Wakool River and Yallakool Creek","409023","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"200","Murray River - Yarrawonga to Barmah","409023","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"201","Murray River - Barmah to Barham","409023","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"202","Edward River - Stevens Weir to Wakool River","409023","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"203","Murray River - Hume to Yarrawonga","409023","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"204","Upper Wakool River and Yallakool Creek","409023","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"205","Murray River - Yarrawonga to Barmah","409023","LF1_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"206","Murray River - Barmah to Barham","409023","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"207","Edward River - Stevens Weir to Wakool River","409023","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"208","Murray River - Hume to Yarrawonga","409023","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"209","Upper Wakool River and Yallakool Creek","409023","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"210","Murray River - Yarrawonga to Barmah","409023","LF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"211","Murray River - Barmah to Barham","409023","LF3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"212","Edward River - Stevens Weir to Wakool River","409023","LF3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"213","Murray River - Hume to Yarrawonga","409023","LF3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"214","Upper Wakool River and Yallakool Creek","409023","LF3_S","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
